UBIGEO,lon,lat,altitud,densidad,area_km2,person_years,deaths,estrato,n_cells,crude_rate,res_m1,res_m2a,res_m2b,dev_m1,dev_m2b,expected_m1,SMR_m1
160503,-74.1269118388791,-5.36636382938464,109.753041910771,14.61,800.6,18957.4403341289,0,lowland (<500 m),,0,-0.00308212885152878,-0.0168360135527599,-0.0167181632401453,-0.00435878842281342,-0.0236430531921808,9.49951825742613e-06,0
160504,-74.4538466006956,-6.20106890543055,139.545500387898,16.76,4637.7,54618.0285506191,0,lowland (<500 m),,0,-0.00729452555407303,-0.0387671208410247,-0.0388604494079391,-0.0103160169696472,-0.0549569745926209,5.32101030590245e-05,0
160505,-74.7294144444951,-6.38483261621688,157.367318435754,16.81,4891.6,69307.8393355019,0,lowland (<500 m),,0,-0.00970447827726634,-0.0493782641211981,-0.0495668126627626,-0.0137242047954652,-0.0700980587112853,9.41768986339343e-05,0
160506,-74.8860772692449,-5.6447588423397,129.07002781043,18.76,6281.1,36595.3256959315,0,lowland (<500 m),,0,-0.00535959125311639,-0.0308630087339047,-0.0310881852772534,-0.00757960663893341,-0.0439653332486593,2.87252184004817e-05,0
160507,-73.4051006716276,-4.79792138780219,134.631299089456,18.65,2595.5,25649.0107655502,0,lowland (<500 m),,0,-0.00475678007131693,-0.026891931787023,-0.0270920545916351,-0.00672710289008246,-0.0383139510360426,2.26269566468779e-05,0
160508,-73.7506899605958,-6.32684733653072,172.914174028015,18.73,4696.3,5568.09302325581,0,lowland (<500 m),,0,-0.00313378423336172,-0.0161674488429506,-0.0163339550299055,-0.00443184016437112,-0.0230997007304846,9.82060362126652e-06,0
160509,-73.9935749459396,-5.99192889244141,140.585679841557,19.1,2090.1,7558.02606882169,0,lowland (<500 m),,0,-0.00274155857818655,-0.0154163445728049,-0.015556777171274,-0.00387714932331171,-0.0220006052624318,7.51614343762823e-06,0
160510,-73.6983550436997,-4.99615198899397,128.540782209782,19.39,1160.1,40553.0237487733,0,lowland (<500 m),,0,-0.00560996918944759,-0.0328423345245733,-0.0331356390319547,-0.00793369451221198,-0.0468608701168897,3.14717543065512e-05,0
160511,-73.3442883292125,-5.75130274338493,163.878884721996,16.83,11049.2,17983.0070360598,0,lowland (<500 m),,0,-0.00522859850641317,-0.0262185439157121,-0.0263313941372799,-0.00739435491997322,-0.0372382147051327,2.73382423412661e-05,0
160601,-75.3489125234489,-7.78098803089794,341.911701685636,24.22,11003,226918.271108558,0,lowland (<500 m),,0,-0.0514020926029146,-0.230991690874319,-0.238104296794042,-0.0726935364933996,-0.336730325785443,0.00264217512395861,0
160602,-75.2998278656054,-7.0408928978916,186.399002138275,17.03,629.7,13856.3535067873,0,lowland (<500 m),,0,-0.00548507162143289,-0.0263543204721012,-0.0265191908391533,-0.00775706267761817,-0.0375037993478909,3.00860106922484e-05,0
160603,-74.914241176076,-7.87942498757301,176.780047103849,17.03,2434.9,27506.575474292,0,lowland (<500 m),,0,-0.00718167635876801,-0.0351954554376098,-0.0353960234189368,-0.0101564241071439,-0.0500575363731361,5.15764753220874e-05,0
160604,-75.7696227882708,-7.30251174662257,541.044182303054,14,7472,49421.7141266306,0,500-1500,,0,-0.045278951555105,-0.133726755731916,-0.1347340223508,-0.0640341073792639,-0.190542681721581,0.00205018345392955,0
160605,-75.1858035107991,-6.39051483315025,164.062347945008,16.97,6244.5,122211.040980919,0,lowland (<500 m),,0,-0.0136515498654936,-0.0686837795395925,-0.0690090181237293,-0.0193062069671936,-0.0975934893566286,0.000186364813730058,0
160606,-75.0943345050564,-6.93194742536959,207.395745487279,14.44,1896.8,60334.1521653284,0,lowland (<500 m),,0,-0.0132679692071696,-0.0568457239747974,-0.0567911156942211,-0.0187637419979279,-0.080314766037067,0.000176039006882402,0
160701,-77.1106383256629,-5.02105421324282,495.452797245489,23.29,7390.9,127407.551025641,0,lowland (<500 m),,0,-0.064360223267288,-0.247390197066568,-0.255493912025966,-0.0910191006219592,-0.361322955490879,0.00414223833901516,0
160702,-76.8556901118789,-5.24005856570751,372.794467892674,26.05,4785.7,63468.4845360825,0,lowland (<500 m),,0,-0.0306413843922748,-0.137796255902379,-0.142690481935728,-0.0433334613774423,-0.201794814775059,0.000938894437475144,0
160703,-77.5184873560258,-4.7275556027651,390.878373934381,25.19,3570,75642.2651675859,0,lowland (<500 m),,0,-0.0357179903883546,-0.155427595066238,-0.160755592039017,-0.0505128664279229,-0.227342738488894,0.00127577483738259,0
160704,-77.373572913095,-3.67883781589285,226.558585047831,21.2,11043.9,36204.1217484009,0,lowland (<500 m),,0,-0.0116152164536071,-0.0573013759691112,-0.0584188164330023,-0.0164263966385902,-0.0826166824973361,0.000134913253264144,0
160705,-76.6380463430973,-4.27642851778125,161.653468784413,23.47,9100.2,49130.0233160622,0,lowland (<500 m),,0,-0.00848024599643013,-0.0496934868509919,-0.0507435424979628,-0.0119928789004116,-0.0717622060034744,7.19145721599693e-05,0
160706,-76.6724646995929,-3.27426748295472,218.984157778102,21.8,11788.4,125658.949730228,0,lowland (<500 m),,0,-0.0206444731833806,-0.104459518990383,-0.106608570731089,-0.0291956939639845,-0.150767286593117,0.000426194273019321,0
